,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
431,Micheweni,TZ,-4.97,39.83,82.49,79,32,14.2
432,Usinsk,RU,65.99,57.53,14.65,93,97,14.38
433,West Bay,KY,19.37,-81.42,77.68,79,0,5.01
434,Aklavik,CA,68.22,-135.01,-34.6,65,20,4.7
435,Clarence Town,AU,-32.58,151.78,73.9,78,38,6.93
436,Bahia Blanca,AR,-38.72,-62.27,66.13,30,0,9.93
437,Constantine,DZ,36.37,6.61,42.8,93,20,2.13
438,Mercedes,AR,-34.65,-59.43,60.21,69,0,3.69
439,Uirauna,BR,-6.52,-38.41,71.56,93,100,2.44
440,Mount Isa,AU,-20.73,139.5,102.2,15,0,12.75
441,Nipawin,CA,53.37,-104.0,-5.8,58,1,14.99
442,Luderitz,NA,-26.65,15.16,62.6,88,0,9.17
443,Huarmey,PE,-10.07,-78.15,69.04,82,19,1.59
444,Faya,SA,18.39,42.45,68.86,34,0,10.29
445,Labuhan,ID,-6.88,112.21,84.52,77,78,7.07
446,Richards Bay,ZA,-28.78,32.04,79.43,83,0,9.51
447,Omsukchan,RU,62.53,155.8,-20.67,97,100,10.09
448,Shaunavon,CA,49.65,-108.42,15.3,96,98,5.7
449,Sarankhola,BD,22.31,89.79,89.31,22,0,12.1
450,Constitucion,CL,-35.33,-72.42,54.55,85,0,3.98
451,Umm Kaddadah,SD,13.6,26.69,83.5,10,0,13.67
452,Jiuquan,CN,39.74,98.52,22.53,26,0,6.85
453,Gondanglegi,ID,-7.75,112.01,80.08,88,100,5.32
454,Warrnambool,AU,-38.38,142.48,60.01,87,100,19.89
455,Jilin,CN,43.0,126.0,17.11,95,100,10.29
456,Louangphabang,LA,19.89,102.13,95.0,16,25,11.41
457,Saint-Pierre,RE,-21.34,55.48,77.25,78,100,6.93
458,Turukhansk,RU,65.82,87.98,13.68,93,100,13.56
459,Severo-Kuril'sk,RU,50.68,156.12,15.6,80,90,18.37
460,Takoradze,GH,4.88,-1.76,84.58,62,55,3.29
461,Bereket,TM,39.24,55.52,40.37,55,33,7.45
462,Sarangani,PH,5.4,125.46,81.95,74,0,25.52
463,Erenhot,CN,43.65,111.98,10.87,76,64,11.7
464,Ludhiana,IN,30.9,75.85,74.61,44,0,12.24
465,North Bend,US,43.41,-124.22,40.89,100,75,6.93
466,Tombouctou,ML,20.0,-3.0,74.88,16,100,15.88
467,Kristinehamn,SE,59.31,14.11,38.95,100,100,12.75
468,Salto,UY,-31.38,-57.97,73.99,95,0,5.01
469,Ejido,VE,8.55,-71.24,48.33,94,95,2.51
470,Saint Lawrence,MT,36.06,14.2,60.3,72,20,17.22
471,Dharchula,IN,29.85,80.53,54.82,25,0,7.18
472,Marathon,US,44.9,-89.77,8.44,65,75,13.87
473,Suamico,US,44.63,-88.04,9.64,55,90,5.82
474,Arrecife,ES,28.96,-13.55,63.37,77,20,13.87
475,Esim,GH,4.87,-2.24,84.58,62,55,3.29
476,'Ahuimanu,US,21.44,-157.84,71.96,93,40,3.36
477,Klyuchi,RU,52.27,79.17,19.2,91,100,6.26
478,Yloejaervi,FI,61.56,23.6,34.27,95,90,13.87
479,Ishinomaki,JP,38.42,141.3,50.0,66,67,5.82
480,Tottori,JP,35.5,134.23,54.63,82,0,13.87
481,Yamada,JP,39.47,141.95,38.89,76,40,2.8
482,Sitka,US,57.05,-135.33,36.7,86,90,3.36
483,Loralai,PK,30.37,68.6,63.9,13,0,16.02
484,Santa Rosa,PH,14.31,121.11,87.42,46,20,12.75
485,Bourail,NC,-21.57,165.48,77.02,82,8,5.46
486,Mahibadhoo,MV,3.78,72.97,83.14,76,0,11.32
487,Koumac,NC,-20.57,164.28,76.14,85,22,4.92
488,Itarema,BR,-2.92,-39.92,74.93,95,88,3.15
489,Smidovich,RU,48.6,133.82,2.93,83,0,4.92
490,San Jose,US,37.34,-121.89,44.82,93,1,0.92
491,Polewali,ID,-3.43,119.34,79.34,87,91,1.3
492,Hauterive,FR,46.09,3.45,39.2,80,67,9.17
493,Camana,PE,-16.62,-72.71,65.66,86,100,2.24
494,Tete,MZ,-16.16,33.59,82.4,78,40,3.36
495,The Valley,AI,18.22,-63.06,74.39,83,20,12.75
496,Le Hochet,MU,-20.14,57.52,83.17,70,75,16.11
497,Sala Consilina,IT,40.39,15.6,57.2,41,0,5.82
498,Okhotsk,RU,59.38,143.3,11.01,76,100,9.53
499,Pallasovka,RU,50.05,46.88,30.7,92,100,6.31
500,Nabire,ID,-3.37,135.48,79.0,88,62,1.79
501,Shelopugino,RU,51.65,117.56,2.53,95,5,2.53
502,Grindavik,IS,63.84,-22.43,33.24,80,75,20.8
503,Chernyshevskiy,RU,63.01,112.47,7.48,95,100,5.91
504,Pecos,US,31.42,-103.49,38.44,72,1,3.36
505,Gezing,AT,47.92,13.13,38.17,80,100,9.17
506,Chebarkul,RU,54.97,60.36,25.09,87,88,4.92
507,Shizunai,JP,42.33,142.37,19.81,79,35,7.47
508,Boguchany,RU,58.38,97.45,19.92,92,99,4.52
509,Samarai,PG,-10.62,150.67,79.41,77,0,5.19
510,Nara,JP,34.69,135.8,53.04,87,33,1.12
511,Porto Belo,BR,-27.16,-48.55,73.35,100,40,11.41
512,Honiara,SB,-9.43,159.95,82.4,78,75,9.17
513,Burnie,AU,-41.07,145.92,64.49,96,100,4.0
514,Katobu,ID,-4.94,122.53,82.69,86,100,2.04
515,Valledupar,CO,10.46,-73.25,66.33,76,18,5.66
516,Soyo,AO,-6.13,12.37,84.06,68,99,4.74
517,Athabasca,CA,54.72,-113.29,-14.37,94,65,1.92
518,Lira,UG,2.23,32.91,87.8,33,94,10.58
519,Avondale,US,33.44,-112.35,48.33,93,0,5.82
520,Hamilton,US,39.18,-84.53,13.71,92,1,3.91
521,Warwick,US,41.7,-71.42,9.41,51,1,9.17
522,Bara,NG,10.37,10.73,79.11,8,0,9.17
523,Marsh Harbour,BS,26.54,-77.06,74.43,78,67,4.72
524,Noyabrsk,RU,63.2,75.45,10.09,93,100,14.61
525,Deputatsky,RU,69.3,139.9,-23.55,77,0,5.64
526,Asau,RO,46.43,26.4,42.58,81,40,12.75
527,Ponta Delgada,PT,37.73,-25.67,62.6,93,75,18.34
528,Kloulklubed,PW,7.04,134.26,82.4,74,75,10.29
529,Lesnoy,RU,57.62,63.08,19.69,91,52,5.17
530,Linxia,CN,35.6,103.21,20.39,31,10,4.74
531,Zaozyornoye,UA,45.16,33.28,44.51,67,100,4.7
532,Naze,JP,28.37,129.48,71.6,94,75,14.99
533,Pospelikha,RU,51.95,81.77,23.31,90,62,5.23
534,Wahiawa,US,21.5,-158.02,71.8,93,40,3.36
535,Purnia,IN,25.78,87.47,80.42,35,0,1.36
536,Jiayuguan,CN,39.82,98.3,28.87,20,0,11.05
537,San Cristobal,VE,7.77,-72.22,51.28,95,9,5.3
538,Choix,MX,26.71,-108.32,61.66,50,32,3.06
539,Anadyr,RU,64.75,177.48,6.37,60,100,22.37
540,Pokrovsk,UA,48.28,37.18,33.13,99,87,6.93
541,Gunnedah,AU,-30.98,150.25,80.6,65,7,6.93
542,Tyukalinsk,RU,55.87,72.2,21.79,93,86,8.32
543,Auki,SB,-8.77,160.7,83.73,76,100,26.66
544,Aykhal,RU,66.0,111.5,10.4,92,24,4.47
545,Ilebo,CD,-4.32,20.58,82.8,59,100,3.18
546,Verkhnevilyuysk,RU,63.45,120.32,-2.85,96,96,4.23
547,Langham,CA,52.37,-106.97,3.29,71,20,13.87
548,Concepcion,CL,-36.83,-73.05,57.2,87,0,3.36
549,Mogadishu,SO,2.04,45.34,87.8,55,40,19.46
550,Valverde del Camino,ES,37.58,-6.75,54.0,71,4,2.84
551,Bom Jesus,BR,-9.07,-44.36,70.7,96,100,1.97
552,Kaeo,NZ,-35.1,173.78,69.66,84,100,7.0
553,Keetmanshoop,NA,-26.58,18.13,87.8,33,93,14.99
554,Sault Ste. Marie,CA,46.52,-84.33,17.06,72,90,9.17
555,Tautira,PF,-17.73,-149.15,78.44,83,20,3.36
556,Ucar,AZ,40.52,47.65,41.74,59,91,3.36
557,Pizarro,CO,4.95,-77.37,80.17,82,70,7.23
558,Nizhneangarsk,RU,55.78,109.55,7.39,95,70,2.73
559,Venkatagiri,IN,13.97,79.58,91.4,36,0,6.93
560,San Quintin,MX,30.48,-115.95,55.72,86,5,7.83
561,Oranjemund,NA,-28.55,16.43,82.81,43,0,4.09
562,Concordia,AR,-31.39,-58.02,73.99,95,0,5.01
563,Tamasane,BW,-22.42,27.4,85.24,40,0,13.87
564,Port Hedland,AU,-20.32,118.57,89.6,66,0,14.99
565,Aguimes,ES,27.91,-15.45,63.14,77,20,11.41
566,Ishigaki,JP,24.34,124.16,77.0,88,20,13.87
567,Sioux Lookout,CA,50.1,-91.92,16.9,78,90,14.99
568,Mulege,MX,26.88,-111.98,59.38,55,100,3.74
569,Menongue,AO,-14.66,17.69,77.29,67,100,2.08
570,Nome,US,64.5,-165.41,5.0,45,40,8.05
571,Jiangyou,CN,31.77,104.72,37.81,50,100,3.06
572,Merritt Island,US,28.54,-80.67,62.94,72,90,10.29
573,Turaif,SA,31.67,38.66,53.6,46,0,29.97
574,Lusaka,ZM,-15.41,28.29,73.4,73,75,9.17
575,Darnah,LY,32.77,22.64,59.95,72,60,23.76
576,Panaba,MX,21.28,-88.27,71.01,93,8,4.65
577,Kahului,US,20.89,-156.47,69.78,78,1,8.05
578,Lahat,ID,-3.8,103.53,80.15,73,94,3.02
579,Phetchaburi,TH,12.97,99.58,89.6,49,0,11.41
580,Monte Gordo,PT,37.18,-7.45,54.75,87,0,4.7
581,Serenje,ZM,-13.23,30.24,70.21,91,97,8.1
582,Necochea,AR,-38.55,-58.74,62.01,82,0,8.99
583,Borgarnes,IS,64.54,-21.92,33.01,69,75,16.11
584,Diu,IN,20.71,70.98,75.51,53,0,6.58
585,Podyuga,RU,61.09,40.86,24.39,92,98,8.72
586,Chapais,CA,49.78,-74.85,-11.2,76,90,6.93
587,OErnskoeldsvik,SE,63.29,18.72,33.8,93,100,6.93
588,Kysyl-Syr,RU,63.9,122.76,-14.66,98,27,3.44
589,Singaparna,ID,-7.35,108.11,78.94,78,100,6.51
590,Bathsheba,BB,13.22,-59.52,78.8,65,20,19.46
591,Saint-Ambroise,CA,48.55,-71.33,-18.36,74,20,2.13
592,Meiktila,MM,20.87,95.87,89.6,19,0,4.74
